zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
03045,3.53,25.81,76703,64.52
03046,4.65,25.98,98482,69.27
03047,3.67,20.58,74688,63.97
03048,8.85,26.54,60799,49.33
03049,5.69,20.1,102159,80.48
03051,8.97,23.68,85500,62.73
03052,5.51,25.07,108466,71.73
03053,7.46,25.67,92726,71.1
03054,5.29,23.19,90014,69.74
03055,5.57,25.99,68451,66.97
03057,5.32,20.84,93438,75.89
03060,9.88,37.69,45437,52.63
03062,6.36,26.64,83468,68.3
03063,6.69,27.9,76733,72.73
03064,8.79,31.48,67161,62.86
03070,3.96,23.57,94076,70.41
03071,5.17,18.39,85149,65.68
03076,6.24,24.09,96852,60.04
03077,11.61,23.49,63920,52.69
03079,7.4,27.66,76779,59.55
03082,5.22,22.59,85518,61.73
03084,7.56,27.78,51875,55.53
